Rk,G,Date,Opp,W/L,PTS,Opp.1,PTS.1,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
35,35,2022-12-27,HOU,W,126,102,43,91,.473,20,56,.357,20,23,.870,9,49,32,8,5,11,14,38,95,.400,14,45,.311,12,14,.857,13,49,24,5,2,15,16
36,36,2022-12-29,LAC,W,116,110,44,91,.484,11,39,.282,17,22,.773,11,49,22,3,7,12,17,43,89,.483,15,39,.385,9,14,.643,8,41,26,4,4,13,20
37,37,2023-01-01,DEN,L,111,123,40,87,.460,9,33,.273,22,27,.815,10,41,30,8,3,13,15,45,79,.570,17,30,.567,16,18,.889,1,35,31,5,4,17,17
38,38,2023-01-03,OKC,L,117,150,40,88,.455,12,40,.300,25,31,.806,11,38,29,4,7,17,15,58,98,.592,20,40,.500,14,22,.636,9,44,31,14,3,13,23
39,39,2023-01-05,DAL,W,124,95,41,84,.488,16,43,.372,26,31,.839,10,52,29,6,8,11,22,34,90,.378,7,32,.219,20,25,.800,11,42,15,4,3,11,19
40,40,2023-01-07,SAS,W,121,116,47,95,.495,15,34,.441,12,18,.667,8,43,30,6,10,14,15,49,100,.490,7,25,.280,11,14,.786,12,51,25,6,3,13,20
41,41,2023-01-09,CHI,W,107,99,38,87,.437,11,41,.268,20,21,.952,9,50,25,2,7,9,12,39,86,.453,12,35,.343,9,14,.643,6,42,19,6,1,8,18
42,42,2023-01-11,NOP,W,125,114,44,91,.484,15,44,.341,22,25,.880,11,50,24,7,5,9,16,45,87,.517,11,30,.367,13,17,.765,4,33,22,5,4,9,17
43,43,2023-01-12,BRK,W,109,98,41,86,.477,12,36,.333,15,17,.882,12,48,23,4,6,14,15,38,84,.452,13,34,.382,9,11,.818,4,31,26,8,9,12,19
44,44,2023-01-14,CHO,W,122,106,47,99,.475,19,53,.358,9,10,.900,14,46,35,8,4,7,15,41,88,.466,8,27,.296,16,19,.842,10,46,21,3,2,11,11
45,45,2023-01-16,CHO,W,130,118,43,87,.494,20,43,.465,24,25,.960,14,47,34,1,4,12,21,41,90,.456,13,31,.419,23,30,.767,13,38,26,7,2,5,18
46,46,2023-01-19,GSW,W,121,118,43,108,.398,13,41,.317,22,30,.733,18,63,21,10,5,17,19,40,100,.400,18,52,.346,20,23,.870,8,47,28,10,7,16,26
47,47,2023-01-21,TOR,W,106,104,38,85,.447,16,35,.457,14,15,.933,11,41,25,9,8,15,17,46,86,.535,7,19,.368,5,7,.714,6,41,24,7,9,14,13
48,48,2023-01-23,ORL,L,98,113,36,83,.434,18,46,.391,8,11,.727,8,37,24,5,4,18,23,43,84,.512,11,27,.407,16,24,.667,8,40,22,10,3,11,12
49,49,2023-01-24,MIA,L,95,98,32,74,.432,10,32,.313,21,27,.778,5,44,21,5,6,17,22,34,94,.362,12,33,.364,18,23,.783,14,51,21,7,2,8,18
50,50,2023-01-26,NYK,L,117,120,41,100,.410,16,46,.348,19,23,.826,15,54,22,4,4,13,19,44,96,.458,13,38,.342,19,23,.826,10,50,17,5,5,10,20
51,51,2023-01-28,LAL,W,125,121,39,84,.464,13,40,.325,34,39,.872,7,46,18,8,9,12,22,47,105,.448,12,42,.286,15,20,.750,11,47,30,4,0,12,23
52,52,2023-02-01,BRK,W,139,96,53,92,.576,26,54,.481,7,10,.700,11,57,28,4,4,12,13,36,88,.409,9,39,.231,15,18,.833,5,32,19,8,1,7,12
53,53,2023-02-03,PHO,L,94,106,29,75,.387,10,38,.263,26,31,.839,3,43,18,5,3,15,21,41,95,.432,12,32,.375,12,14,.857,10,53,28,6,6,9,22
54,54,2023-02-06,DET,W,111,99,39,83,.470,16,37,.432,17,21,.810,10,51,25,2,5,12,22,37,87,.425,9,33,.273,16,21,.762,9,42,22,9,6,9,20
55,55,2023-02-08,PHI,W,106,99,40,76,.526,19,35,.543,7,10,.700,5,44,25,2,5,15,19,37,83,.446,10,31,.323,15,20,.750,8,37,20,9,3,7,16
56,56,2023-02-10,CHO,W,127,116,44,89,.494,25,55,.455,14,17,.824,5,43,34,7,7,15,22,45,93,.484,8,23,.348,18,26,.692,11,47,26,9,6,13,18
57,57,2023-02-12,MEM,W,119,109,39,88,.443,21,51,.412,20,26,.769,15,55,28,5,3,11,14,42,84,.500,12,34,.353,13,21,.619,3,34,24,4,5,8,22
58,58,2023-02-14,MIL,L,125,131,46,99,.465,17,50,.340,16,20,.800,8,44,28,8,1,13,26,43,90,.478,18,42,.429,27,35,.771,10,52,29,6,3,19,23
59,59,2023-02-15,DET,W,127,109,49,92,.533,21,45,.467,8,10,.800,8,43,30,10,5,11,18,43,84,.512,11,29,.379,12,16,.750,6,35,24,6,4,14,16
60,60,2023-02-23,IND,W,142,138,51,99,.515,18,39,.462,22,26,.846,20,51,31,7,6,15,18,49,94,.521,22,49,.449,18,22,.818,10,37,33,10,5,15,23
61,61,2023-02-25,PHI,W,110,107,43,86,.500,16,36,.444,8,12,.667,9,44,20,6,4,13,22,35,78,.449,9,27,.333,28,35,.800,8,42,19,8,3,10,13
62,62,2023-02-27,NYK,L,94,109,37,84,.440,9,42,.214,11,14,.786,7,35,21,5,8,12,22,37,78,.474,12,31,.387,23,34,.676,7,44,20,6,3,15,11
63,63,2023-03-01,CLE,W,117,113,39,78,.500,16,32,.500,23,28,.821,7,43,27,5,4,13,18,45,92,.489,10,32,.313,13,21,.619,10,38,21,8,3,7,18
64,64,2023-03-03,BRK,L,105,115,41,84,.488,9,29,.310,14,20,.700,9,48,26,8,8,19,19,40,95,.421,14,44,.318,21,26,.808,13,47,25,9,6,13,20
65,65,2023-03-05,NYK,L,129,131,43,109,.394,21,59,.356,22,25,.880,17,54,27,8,5,16,28,47,95,.495,15,41,.366,22,32,.688,11,54,18,7,4,20,27
66,66,2023-03-06,CLE,L,114,118,42,101,.416,16,48,.333,14,21,.667,15,52,25,5,5,14,21,43,96,.448,12,34,.353,20,25,.800,16,58,27,4,7,15,20
67,67,2023-03-08,POR,W,115,93,42,88,.477,18,49,.367,13,20,.650,5,45,26,9,2,11,20,30,82,.366,11,39,.282,22,27,.815,6,47,18,5,2,16,19
68,68,2023-03-11,ATL,W,134,125,52,95,.547,20,42,.476,10,12,.833,5,40,35,6,6,9,21,50,100,.500,10,34,.294,15,16,.938,13,48,24,4,4,10,17
